Time_s,ReferenceSignal,UncompensatedResponse,CompensatedResponse,UncompensatedControl,CompensatedControl
1.054,0.159085594932833,0.0572809513132193,0.10061773449059,0.0509023218098068,0.0435942430526621
1.055,0.157500119225291,0.0778596742036957,0.0963248613453593,0.0398202225107977,0.0404020518385408
1.056,0.160542675989182,0.0772086204701939,0.0892041508424509,0.0416670277594943,0.0453096068936004
1.057,0.184045463146515,0.0889318354059162,0.0867781362710121,0.0475568138702992,0.065611836528388
1.058,0.200279123412577,0.0808593461657525,0.0820893957671153,0.0597098886234124,0.0790893590059936
1.059,0.192762972843778,0.0846250891829141,0.0971212093784001,0.054068941830432,0.075906934584752
1.06,0.171116886081376,0.0893611040664236,0.090015144428911,0.0408778910074762,0.0517165248285317
1.061,0.198311685955275,0.0780139719015675,0.0963361709151249,0.0601488570268538,0.0756752003270735
1.062,0.187367061942694,0.0759511944052938,0.0940610408687485,0.0557079337687,0.0637856898540048
1.063,0.1861725937357,0.0941350903897203,0.0927653702299008,0.0460187516729899,0.0644781363777619
1.064,0.185139797363773,0.0950420662003394,0.100187445393628,0.0450488655817168,0.0639695794947704
1.065,0.200732044127958,0.092179550182138,0.0886521107085565,0.0542762469729098,0.070956110292745
1.066,0.197210790162114,0.0952794172905286,0.0787048034027345,0.0509656864357928,0.0762697091896306
1.067,0.203860567387216,0.0989413589887004,0.0848401190614713,0.0524596041992576,0.0868698188631071
1.068,0.211513533971266,0.0984762240873105,0.0830865850150278,0.0565186549419778,0.0876078297160525
1.069,0.216885677483241,0.0967697937052797,0.0896299364687663,0.0600579418889809,0.0930613907929308
1.07,0.219479313155296,0.102364916941332,0.0894606273157853,0.0585571981069816,0.0903840980689006
1.071,0.211799177481337,0.101114307072097,0.0832876808529893,0.0553424352046199,0.0850099093520759
1.072,0.231996047339524,0.0923612501159297,0.0861383048884733,0.0698173986117974,0.102638951292514
1.073,0.22492810855496,0.0910404819505362,0.0911767698677919,0.0669438133022119,0.0943108549644025
1.074,0.211132941448677,0.104898535365234,0.0859116002852895,0.0531172030417211,0.0841029276126619
